dateNo	date	ZT	key	startZT	cell	protocol	Imin	Imax	FRbeg	FRennd	Amp	PSD
43	10/11/2012	4.1	4	18.80	WT	DepolSteps	0	0.01	18.53	13.24	-2.618	-32.86
43	10/11/2012	4.1	4	18.80	WT	DepolSteps	0	0.015	23.4	16.81	-1.442	-30.04
43	10/11/2012	4.1	4	18.80	WT	DepolSteps	0	0.02	28.09	21.34	-0.5543	-28.74
44	11/11/2012	2	1	17	WT	Const	0		4.995		5.771	0.07156
44	11/11/2012	2	2	17	WT	Const	0		5.969		-4.988	-37.58
44	11/11/2012	2	4	17.07	WT	DepolSteps	0	0	9.211	8.791	-4.141	-37.47
44	11/11/2012	2	4	17.07	WT	DepolSteps	0	0.005	14.08	10.51	-2.131	-35.56
44	11/11/2012	2	4	17.07	WT	DepolSteps	0	0.01	21.33	13.42	-0.7076	-33.31
44	11/11/2012	2	4	17.07	WT	DepolSteps	0	0.015	24.28	16.98	0.4395	-30.85
44	11/11/2012	2	4	17.07	WT	DepolSteps	0	0.02	28	20.33	1.256	-29.2
45	11/11/2012	3.3	10	18	WT	Const	0		3.506		4.826	0.02155
45	11/11/2012	3.3	11	18	WT	Const	0		9.634		-16.63	-37.79
45	11/11/2012	3.3	13	18.41	WT	DepolSteps	0	0	7.088	5.621	-16.75	-40.87
45	11/11/2012	3.3	13	18.41	WT	DepolSteps	0	0.005	17.25	12.58	-15.22	-36.44
45	11/11/2012	3.3	13	18.41	WT	DepolSteps	0	0.01	24.38	19.42	-13.39	-32.47
45	11/11/2012	3.3	13	18.41	WT	DepolSteps	0	0.015	28.38	23.71	-11.03	-28.87
45	11/11/2012	3.3	13	18.41	WT	DepolSteps	0	0.02	28.79	26.01	-8.634	-25.82
46	13/11/2012	1.5	8	16	WT	Const	0		4.822		-16.6	-39.7
46	13/11/2012	1.5	10	16.52	WT	DepolSteps	0	0	4.914	4.92	-19.09	-40.12
46	13/11/2012	1.5	10	16.52	WT	DepolSteps	0	0.005	11.32	9.667	-16.39	-34.29
46	13/11/2012	1.5	10	16.52	WT	DepolSteps	0	0.01	16.2	13.56	-13.15	-29.24
46	13/11/2012	1.5	10	16.52	WT	DepolSteps	0	0.015	19.86	17.1	-8.678	-23.7
46	13/11/2012	1.5	10	16.52	WT	DepolSteps	0	0.02	23.1	19.67	-5.69	-19.81
47	22/11/2012	4.5	10	20	WT	Const	0		7.049		-18	-40.64
47	22/11/2012	4.5	12	19.56	WT	DepolSteps	0	0	4.732	5.41	-18.08	-43.21
47	22/11/2012	4.5	12	19.56	WT	DepolSteps	0	0.005	17.86	13.17	-16.36	-36.56
47	22/11/2012	4.5	12	19.56	WT	DepolSteps	0	0.01	25.72	19.82	-14.39	-32.72
47	22/11/2012	4.5	12	19.56	WT	DepolSteps	0	0.015	32.91	24.73	-11.64	-28.68
47	22/11/2012	4.5	12	19.56	WT	DepolSteps	0	0.02	31.94	28.24	-9.736	-26.18
